,test,pred,pred_upper,pred_lower
64016,55000,37184.60827246971,93614.70713078359,-19245.490585844156
64017,15000,37077.92565072268,93508.02450841965,-19352.17320697428
64018,90000,37302.17110218482,93732.26995871213,-19127.92775434249
64019,14700,37633.504654939046,94063.60334496279,-18796.594035084694
64020,25725,37905.55386766433,94335.65255380435,-18524.544818475697
64021,32500,37957.096396920075,94387.19508256348,-18473.002288723335
64022,25900,36827.69545266759,93257.79413740055,-19602.403232065357
64023,16500,37093.67713456959,93523.77581877328,-19336.4215496341
64024,70350,36815.80892097822,93245.90760417376,-19614.289762217326
64025,14000,36303.87834867797,92733.9770313779,-20126.220334021957
64026,18000,37118.15343598271,93548.25210603014,-19311.94523406471
64027,30000,36583.96422824028,93014.06289779473,-19846.134441314185
64028,28300,35261.690231768094,91691.78890098791,-21168.408437451733
64029,88200,36034.79045743173,92464.88904364742,-20395.308128783952
64030,26500,36503.012212870555,92933.11079859441,-19927.0863728533
64031,36750,36678.475776438354,93108.57436072268,-19751.622807845975
64032,112350,37408.07586640618,93838.17445034464,-19022.022717532273
64033,50000,37633.97661079175,94064.07519307485,-18796.12197149134
64034,46000,39398.05608101153,95828.15466291641,-17032.04250089336
64035,76000,40265.74984011448,96695.84841751587,-16164.34873728692
64036,23100,39556.33125979884,95986.42983655079,-16873.767316953104
64037,28350,40846.65494309862,97276.75351932956,-15583.443633132316
64038,45150,40525.10726866845,96955.20584448866,-15904.991307151759
64039,35000,39136.419865005184,95566.51842077273,-17293.67869076236
64040,17084,40454.99660379592,96885.09515897004,-15975.101951378216
64041,10500,39785.80219675103,96215.90075131628,-16644.296357814223
64042,48000,38091.99614366691,94522.09469792075,-18338.10241058693
64043,35500,38854.749283890385,95284.84783650088,-17575.349268720107
64044,36750,38610.201553537656,95040.30010540015,-17819.89699832483
64045,36750,38213.30688924331,94643.40544078898,-18216.791662302356
64046,20000,38723.488737238215,95153.58728493328,-17706.609810456845
64047,20000,38094.17951584715,94524.27806297675,-18335.919031282458
64048,50000,37389.508221719705,93819.60676836941,-19040.59032493001
64049,50000,37636.24533465921,94066.34387649318,-18793.85320717476
64050,24700,37841.51240463613,94271.61094583158,-18588.586136559323
64051,18000,37915.81719030737,94345.91573098268,-18514.28135036795
64052,15750,37423.64563722997,93853.74417754196,-19006.452903082005
64053,25000,36557.845196272436,92987.9436776315,-19872.25328508662
64054,20000,36257.900035618666,92687.998516491,-20172.19844525367
64055,36500,35826.838583634984,92256.93706321725,-20603.25989594729
64056,70000,35480.98032023788,91911.07879901447,-20949.11815853871
64057,2600,36143.766523301056,92573.86500174485,-20286.331955142734
64058,21000,36281.70991823565,92711.80839159626,-20148.38855512497
64059,520000,35361.37525430125,91791.47372717288,-21068.723218570383
64060,58000,42122.03069333633,98552.1291658747,-14308.067779202036
64061,57700,51242.354892849806,107672.453365033,-5187.743579333393
64062,16000,52091.26233794005,108521.36080928752,-4338.836133407429
64063,22050,47213.840416959356,103643.93888378347,-9216.258049864759
64064,20000,50483.637595448745,106913.73606178205,-5946.460870884563
64065,30450,48629.41654521263,105059.51501117196,-7800.681920746698
64066,27000,45525.368841597585,101955.46730701215,-10904.72962381698
64067,32000,48346.638786309515,104776.73724961546,-8083.459676996419
64068,17000,46229.556267413696,102659.65472990848,-10200.542195081085
64069,26250,44430.4602609186,100860.5587210731,-11999.63819923591
64070,22500,46236.446195092736,102666.54465486782,-10193.652264682343
64071,48300,43773.82025894207,100203.91871778513,-12656.278199900997
64072,32000,43387.90605829291,99818.00451639656,-13042.19239981073
64073,49300,44938.4077440534,101368.50620172717,-11491.690713620366
64074,22050,43246.33497844082,99676.43343364564,-13183.763476764005
64075,55100,43257.922281964245,99688.02073675796,-13172.176172829466
64076,48300,44197.0642377038,100627.16269136389,-12233.034215956286
64077,42000,42979.05227487762,99409.15072809832,-13451.046178343087
64078,14500,43865.86190813143,100295.96035934333,-12564.236543080471
64079,45150,43677.2012400963,100107.29969096933,-12752.897210776733
64080,17000,42160.9593258809,98591.0576336291,-14269.13898186729
64081,30000,42641.692197361066,99071.79050452053,-13788.406109798401
64082,72000,42206.939921390534,98637.03822790062,-14223.158385119546
64083,18000,41491.07705747472,97921.17536332908,-14939.021248379635
64084,43050,42671.790084756496,99101.88838854499,-13758.308219031998
64085,19900,42107.150438489785,98537.24874184543,-14322.947864865862
64086,15750,40851.32028769239,97281.41858853112,-15578.77801314633
64087,51450,41416.90259921354,97847.00089960218,-15013.195701175093
64088,57750,40462.212563952846,96892.3108637405,-15967.885735834803
64089,60000,40640.96055162106,97071.05885107254,-15789.137747830428
64090,110000,42271.10770401866,98701.20599173414,-14158.990583696825
64091,50000,42655.296060851746,99085.39434817995,-13774.802226476466
64092,61000,43970.51418534393,100400.61246131538,-12459.584090627533
64093,57750,45058.79364159225,101488.89191703974,-11371.304633855238
64094,22500,44236.61720062076,100666.71547579642,-12193.48107455489
64095,41000,44907.058601399134,101337.15687478326,-11523.039671984996
64096,13000,44620.35163057911,101050.4499036801,-11809.746642521874
64097,155000,43142.70388127684,99572.80215074983,-13287.39438819616
64098,9000,45325.3791041216,101755.4773732301,-11104.719164986898
64099,35000,46338.99703290402,102769.0952990755,-10091.10123326745
64100,8500,45465.69401825406,101895.79228383893,-10964.404247330822
64101,25725,44212.67405720173,100642.77232231508,-12217.424207911616
64102,15000,44160.86213587946,100590.960400615,-12269.236128856079
64103,10000,42943.67587853935,99373.77414190097,-13486.422384822268
64104,20000,41987.03034392679,98417.12860683033,-14443.067918976754
64105,65000,41545.64780977306,97975.74607162674,-14884.450452080622
64106,19000,41173.5135057953,97603.61176720483,-15256.584755614233
64107,20000,41456.996536574006,97887.09476625177,-14973.101693103767
64108,15000,41015.79924420588,97445.89747357578,-15414.298985164009
64109,10500,39598.45062946829,96028.54885643699,-16831.647597500414
64110,15000,39345.12293603309,95775.2211625199,-17084.975290453716
64111,34500,38489.41885197829,94919.51707817896,-17940.67937422239
64112,10000,37636.775770643115,94066.8739955456,-18793.322454259367
64113,80000,37739.22649525516,94169.32471960904,-18690.87172909871
64114,60000,37762.5935441217,94192.69176707075,-18667.504678827347
64115,9000,38465.631914948826,94895.7301375216,-17964.466307623952
64116,10000,39177.96532374738,95608.06349442728,-17252.132846932516
64117,49350,37424.679198304715,93854.77736862082,-19005.418972011386
64118,13000,37109.60976065363,93539.70792309288,-19320.48840178563
64119,15000,37793.22766179782,94223.32582241416,-18636.870498818513
64120,5500,36377.03591318951,92807.13407337072,-20053.0622469917
64121,7500,35414.79546856733,91844.89362753247,-21015.30269039781
64122,13000,35291.90444875897,91722.00260723213,-21138.193709714193
64123,45000,33814.33882804341,90244.43698455546,-22615.759328468645
64124,165000,33818.655473275634,90248.75362939252,-22611.442682841254
64125,16800,36472.747449594244,92902.84560499486,-19957.350705806377
64126,210000,37880.218191979104,94310.31634514395,-18549.879961185732
64127,15000,40368.17781020206,96798.27596288425,-16061.92034248013
64128,22575,42108.2159748172,98538.3141270237,-14321.8821773893
64129,11000,42454.696742612636,98884.79488914507,-13975.401403919794
64130,23000,39878.392266818875,96308.49041291872,-16551.70587928097
64131,75000,40245.78575806497,96675.88390236584,-16184.312386235899
64132,24000,40807.46970237322,97237.56784623941,-15622.628441492969
64133,5000,40040.2522584168,96470.35040076888,-16389.845883935282
64134,27000,40333.292910964155,96763.3910528846,-16096.805230956292
64135,32550,38998.36563390405,95428.46377528556,-17431.732507477456
64136,12500,38398.11991660487,94828.21805737205,-18031.978224162318
64137,22000,38888.19420356084,95318.29234364955,-17541.903936527873
64138,79000,37452.88419362184,93882.98233238235,-18977.21394513867
64139,7000,37759.51224018021,94189.61037850822,-18670.585898147816
64140,13650,38833.69421738493,95263.79235487833,-17596.40392010846
64141,35700,37259.157164218894,93689.25530139447,-19170.940972956683
64142,23000,36490.537331825166,92920.63544987675,-19939.560786226415
64143,147000,37350.691814350066,93780.78993199316,-19079.406303293028
64144,23600,38012.79727396132,94442.89539115882,-18417.30084323619
64145,7000,39573.10273322035,96003.20084497202,-16856.99537853132
64146,42000,39833.06740722436,96263.16551863795,-16597.03070418923
64147,15000,37485.75744181454,93915.85553425184,-18944.34065062277
64148,27000,38360.18415573715,94790.28224774598,-18069.91393627169
64149,27800,38327.38226837736,94757.48035706097,-18102.71582030625
64150,16000,36388.541267545996,92818.63935586043,-20041.55682076844
64151,76650,37328.67730703519,93758.77539470332,-19101.42078063293
64152,21420,37426.159106113395,93856.25719325466,-19003.93898102786
64153,9500,36865.970974040705,93296.06902656383,-19564.127078482416
64154,25000,37591.255846526554,94021.35389833206,-18838.842205278954
64155,138000,35937.7951186665,92367.89317017281,-20492.30293283982
64156,15000,37214.69241275573,93644.79046391716,-19215.40563840571
64157,110000,39697.15243703655,96127.25048547713,-16732.945611404015
64158,126000,39486.715568767235,95916.81360512835,-16943.38246759389
64159,15000,41204.21898213547,97634.31701810865,-15225.8790538377
64160,140000,44134.564018937,100564.66205293132,-12295.534015057317
64161,115500,43357.62910229461,99787.7271358363,-13072.468931247087
64162,18000,45711.943201771675,102142.041233168,-10718.154829624647
64163,34000,48813.51645628197,105243.61447356577,-7616.58156100184
64164,9500,45400.05930584374,101830.15732245214,-11030.038710764667
64165,68000,44986.30217242798,101416.40018847461,-11443.795843618645
64166,10500,46750.36458752698,103180.46260307543,-9679.733428021464
64167,7600,44163.89073323652,100593.98874393434,-12266.207277461297
64168,41800,44230.28021516297,100660.37822496326,-12199.81779463731
64169,50000,44043.09952509986,100473.19753441207,-12386.998484212352
64170,35000,42763.713895213834,99193.81190367359,-13666.38411324592
64171,67000,44057.84539634474,100487.9434043256,-12372.252611636119
64172,18000,43998.28926785539,100428.38727352273,-12431.80873781196
64173,28300,43139.93025012115,99570.0282551345,-13290.167754892194
64174,27000,43724.915615892474,100155.0136202231,-12705.182388438137
64175,12000,42386.6301969503,98816.7282006566,-14043.467806756009
64176,70000,41673.08813437386,98103.1861376186,-14757.009868870882
64177,40000,42328.08491985003,98758.18292029774,-14102.01308059768
64178,120000,42029.119602624225,98459.21760259024,-14400.978397341794
64179,11100,43597.52940524893,100027.62740491497,-12832.568594417105
64180,17000,44390.86053334223,100820.95852744175,-12039.237460757286
64181,78000,43261.52401361309,99691.6220073713,-13168.573980145135
64182,20000,42876.3578598141,99306.45585105392,-13553.740131425715
64183,35700,43935.54540254063,100365.64339330727,-12494.552588226012
64184,12000,43186.988292646245,99617.08628309003,-13243.10969779754
64185,29400,41860.50028191018,98290.59827138782,-14569.59770756746
64186,20000,42267.31265751738,98697.41064647443,-14162.785331439656
64187,55000,41130.40971699791,97560.50770176877,-15299.688267772966
64188,55000,40862.83547211293,97292.9334564708,-15567.262512244939
64189,50400,41967.14363522175,98397.24161866099,-14462.954348217492
64190,31000,41903.95284109226,98334.05082419985,-14526.145142015332
64191,24000,41719.593364165565,98149.69134023893,-14710.50461190781
64192,65000,41713.77995854843,98143.877934322,-14716.31801722513
64193,31500,41339.760639389744,97769.858585415,-15090.337306635505
64194,68200,41726.66255949755,98156.76050504696,-14703.435386051868
64195,130000,42326.37864365816,98756.47658892555,-14103.719301609228
64196,46200,43364.1114852709,99794.20943009735,-13065.986459555555
64197,110000,45492.524517879865,101922.62245989869,-10937.573424138958
64198,25200,46404.5819315847,102834.67987171395,-10025.516008544553
64199,27300,46140.36200899919,102570.45994880507,-10289.735930806695
64200,39900,46782.79806199987,103212.89599933272,-9647.299875332974
64201,66000,45325.07707077,101755.17500755706,-11105.020866017068
64202,18500,45673.28531018685,102103.38324670604,-10756.812626332343
64203,18000,46458.383968998496,102888.48190487847,-9971.713966881478
64204,11000,44633.53230887395,101063.6302424515,-11796.565624703602
64205,23000,43747.21266312282,100177.31059626867,-12682.885270023035
64206,27000,43698.586081195725,100128.68401393833,-12731.511851546886
64207,7000,42271.45244210478,98701.55036077488,-14158.645476565318
64208,4700,41869.307844057934,98299.40576241829,-14560.790074302415
64209,13000,41096.77441262186,97526.8723305465,-15333.323505302767
64210,16000,39361.61138772136,95791.70930001745,-17068.486524574735
64211,34000,39156.16090510204,95586.25881705241,-17273.937006848326
64212,25000,38827.834749437076,95257.93265179027,-17602.263152916108
64213,18000,38037.777446037435,94467.87534811345,-18392.32045603858
