자치구명,층,임대면적,보증금,계약일,건축년도,임대건물명,경제활동인구,기준금리,전세가격비율
광진구,1,245.91,20000,2022-05-06,2018,단독/다가구,28310,0.5,65
송파구,5,101.95,56600,2022-05-06,1997,아파트,28310,0.5,65
송파구,9,130.68,33000,2022-05-06,1999,아파트,28310,0.5,65
강남구,2,95.4,100000,2022-05-06,1984,아파트,28310,0.5,65
동작구,23,114.75,58800,2022-05-06,2001,아파트,28310,0.5,65
강남구,10,144.2,126000,2022-05-06,1978,아파트,28310,0.5,65
서초구,4,114.94,118000,2022-05-06,2003,아파트,28310,0.5,65
용산구,3,173.78,63000,2022-05-06,2003,다세대/연립,28310,0.5,65
송파구,13,120,83000,2022-05-06,1979,아파트,28310,0.5,65
양천구,7,127.89,65000,2022-05-06,2009,아파트,28310,0.5,65
용산구,5,101.95,40000,2022-05-06,1971,아파트,28310,0.5,65
용산구,11,124.35,280000,2022-05-05,2015,아파트,28310,0.5,65
성동구,1,141.34,62000,2022-05-05,1993,다세대/연립,28310,0.5,65
도봉구,1,208.3,9000,2022-05-05,2018,단독/다가구,28310,0.5,65
강서구,7,114.86,100000,2022-05-05,2014,아파트,28310,0.5,65
관악구,24,113.31,40000,2022-05-05,2000,아파트,28310,0.5,65
강남구,2,142.06,200000,2022-05-05,2009,아파트,28310,0.5,65
서초구,24,220.55,189000,2022-05-04,2004,아파트,28310,0.5,65
강남구,31,114.02,170000,2022-05-04,2016,아파트,28310,0.5,65
강남구,7,103.96,143000,2022-05-04,2004,아파트,28310,0.5,65
성북구,2,124.82,41000,2022-05-04,2003,아파트,28310,0.5,65
강북구,2,114.92,55000,2022-05-04,2003,아파트,28310,0.5,65
중구,5,114.92,70300,2022-05-04,1999,아파트,28310,0.5,65
강남구,5,97.63,78700,2022-05-04,1993,아파트,28310,0.5,65
구로구,1,115,52000,2022-05-04,2001,아파트,28310,0.5,65
영등포구,7,123.27,66150,2022-05-04,1974,아파트,28310,0.5,65
도봉구,15,124.66,62000,2022-05-04,2003,아파트,28310,0.5,65
마포구,6,104.78,100000,2022-05-04,2006,아파트,28310,0.5,65
서초구,11,130.73,148000,2022-05-04,1988,아파트,28310,0.5,65
은평구,11,133.87,52000,2022-05-04,1993,아파트,28310,0.5,65
강서구,12,120.11,57750,2022-05-04,2004,아파트,28310,0.5,65
양천구,9,157.59,120000,2022-05-04,1987,아파트,28310,0.5,65
성동구,11,131.2,75000,2022-05-04,2006,아파트,28310,0.5,65
강남구,13,180.67,126000,2022-05-04,1984,아파트,28310,0.5,65
강서구,12,100.35,55000,2022-05-04,1994,아파트,28310,0.5,65
성동구,8,114.86,155000,2022-05-03,2018,아파트,28310,0.5,65
강남구,-1,117.95,25000,2022-05-03,1990,다세대/연립,28310,0.5,65
영등포구,10,104.5,85000,2022-05-03,1977,아파트,28310,0.5,65
강남구,2,157.74,83000,2022-05-03,1994,다세대/연립,28310,0.5,65
관악구,13,105.84,43000,2022-05-03,1992,아파트,28310,0.5,65
성북구,6,132.96,67000,2022-05-03,1998,아파트,28310,0.5,65
송파구,9,121.63,131250,2022-05-03,2008,아파트,28310,0.5,65
송파구,1,120.42,35000,2022-05-03,1996,단독/다가구,28310,0.5,65
광진구,1,123.04,8000,2022-05-03,1975,단독/다가구,28310,0.5,65
용산구,13,177.62,135000,2022-05-03,1974,아파트,28310,0.5,65
은평구,19,167.14,120000,2022-05-03,2009,아파트,28310,0.5,65
노원구,12,127.22,60000,2022-05-03,1988,아파트,28310,0.5,65
노원구,12,127.22,61000,2022-05-03,1988,아파트,28310,0.5,65
강남구,21,144.64,154350,2022-05-03,2006,아파트,28310,0.5,65
노원구,19,114.81,58800,2022-05-03,1999,아파트,28310,0.5,65
강남구,15,128.03,120000,2022-05-03,1983,아파트,28310,0.5,65
마포구,2,96.97,107000,2022-05-03,2020,아파트,28310,0.5,65
송파구,20,97.07,78000,2022-05-03,2016,아파트,28310,0.5,65
송파구,13,108.81,80000,2022-05-03,2022,아파트,28310,0.5,65
서초구,8,165.57,140700,2022-05-03,2009,아파트,28310,0.5,65
서초구,35,114.78,210000,2022-05-03,2020,아파트,28310,0.5,65
양천구,11,129.33,130000,2022-05-03,1987,아파트,28310,0.5,65
마포구,6,109.61,50000,2022-05-03,2004,아파트,28310,0.5,65
성북구,14,114.98,96000,2022-05-03,2010,아파트,28310,0.5,65
양천구,19,113,75000,2022-05-03,2004,오피스텔,28310,0.5,65
강남구,20,101.98,260000,2022-05-03,2021,아파트,28310,0.5,65
강남구,12,121.48,105000,2022-05-03,2004,아파트,28310,0.5,65
성동구,13,114.8,87150,2022-05-02,2007,아파트,28310,0.5,65
서초구,33,144.99,189000,2022-05-02,2016,아파트,28310,0.5,65
송파구,8,100.31,71400,2022-05-02,1988,아파트,28310,0.5,65
송파구,3,135.99,132000,2022-05-02,1988,아파트,28310,0.5,65
송파구,1,136.33,78700,2022-05-02,1988,아파트,28310,0.5,65
마포구,6,128.32,60900,2022-05-02,1991,아파트,28310,0.5,65
중랑구,1,112.04,24000,2022-05-02,1996,단독/다가구,28310,0.5,65
강남구,2,113.45,141700,2022-05-02,2010,아파트,28310,0.5,65
강남구,2,152.98,200000,2022-05-02,2004,아파트,28310,0.5,65
영등포구,1,141,14000,2022-05-02,2020,단독/다가구,28310,0.5,65
영등포구,6,117.41,90000,2022-05-02,2002,아파트,28310,0.5,65
서초구,21,134.96,96600,2022-05-02,2005,아파트,28310,0.5,65
양천구,1,115.32,70000,2022-05-02,2005,아파트,28310,0.5,65
양천구,9,101.2,82900,2022-05-02,1986,아파트,28310,0.5,65
양천구,1,122.3,105000,2022-05-02,1987,아파트,28310,0.5,65
강남구,1,219.67,241500,2022-05-02,2006,아파트,28310,0.5,65
강남구,5,117.91,99750,2022-05-02,1977,아파트,28310,0.5,65
중구,15,122.28,49000,2022-05-02,1993,아파트,28310,0.5,65
서초구,9,105.89,79800,2022-05-02,1979,아파트,28310,0.5,65
강남구,11,115.23,95000,2022-05-02,1983,아파트,28310,0.5,65
동작구,27,128.61,87000,2022-05-02,2006,아파트,28310,0.5,65
강동구,10,126.43,70000,2022-05-02,2003,아파트,28310,0.5,65
강남구,11,147.96,220000,2022-05-01,2006,아파트,28310,0.5,65
중랑구,9,110.88,53000,2022-05-01,2012,아파트,28310,0.5,65
성동구,5,114.98,110000,2022-05-01,2016,아파트,28310,0.5,65
동대문구,1,103.05,32000,2022-05-01,1998,다세대/연립,28310,0.5,65
동작구,13,108.48,60000,2022-05-01,2003,아파트,28310,0.5,65
강동구,15,114.86,77500,2022-05-01,2020,아파트,28310,0.5,65
구로구,1,119.52,23100,2022-04-30,1994,단독/다가구,28310,0.5,65
송파구,6,112.89,75700,2022-04-30,2016,아파트,28310,0.5,65
마포구,1,107.13,40000,2022-04-30,1984,다세대/연립,28310,0.5,65
강남구,9,159.08,115500,2022-04-30,1983,아파트,28310,0.5,65
노원구,6,138.29,53550,2022-04-30,1993,아파트,28310,0.5,65
노원구,6,138.29,53500,2022-04-30,1993,아파트,28310,0.5,65
양천구,20,102.72,150000,2022-04-30,2006,아파트,28310,0.5,65
서초구,5,103.74,53000,2022-04-30,2004,다세대/연립,28310,0.5,65
송파구,12,156.93,70000,2022-04-30,1985,아파트,28310,0.5,65
동작구,7,132.74,75000,2022-04-30,2007,아파트,28310,0.5,65
성북구,33,166.87,85000,2022-04-30,2010,아파트,28310,0.5,65
동작구,1,121.32,80000,2022-04-30,2007,아파트,28310,0.5,65
강남구,4,109.31,62000,2022-04-30,1984,아파트,28310,0.5,65
종로구,16,114.93,105000,2022-04-30,2008,아파트,28310,0.5,65
은평구,13,101.61,47250,2022-04-30,2008,아파트,28310,0.5,65
용산구,5,102.48,75000,2022-04-30,1974,아파트,28310,0.5,65
영등포구,24,143.59,85000,2022-04-30,2014,아파트,28310,0.5,65
서초구,2,102.16,43575,2022-04-30,1992,다세대/연립,28310,0.5,65
송파구,18,97.48,76650,2022-04-30,2016,아파트,28310,0.5,65
성동구,14,114.97,85000,2022-04-30,2003,아파트,28310,0.5,65
동작구,9,114.17,70000,2022-04-30,2004,아파트,28310,0.5,65
성북구,1,111.71,46200,2022-04-30,1998,아파트,28310,0.5,65
동작구,10,108.08,80000,2022-04-30,1993,아파트,28310,0.5,65
양천구,10,95.03,100000,2022-04-30,1986,아파트,28310,0.5,65
양천구,1,142.51,160000,2022-04-30,1986,아파트,28310,0.5,65
양천구,5,105.58,68250,2022-04-30,1987,아파트,28310,0.5,65
동대문구,4,112.92,75000,2022-04-30,2007,아파트,28310,0.5,65
강남구,3,106.83,115000,2022-04-30,2004,아파트,28310,0.5,65
강서구,1,101.88,45150,2022-04-30,1995,아파트,28310,0.5,65
